MongoDB shell version v3.4.10,,,,,,,
connecting to: mongodb://127.0.0.1:27017/constellation,,,,,,,
MongoDB server version: 3.4.10,,,,,,,
collabid,milestone,modified,comment,score,grader,,
59d79c68c7732358ef665a4d,reducetestcase,2017-10-06T11:32:53,caronoff,2,[in-person checkoff],,
59d79f6cc7732358ef668cc0,reducetestcase,2017-10-06T11:25:28,caronoff,1,Good work,,
59d79c61c7732358ef6659ce,reducetestcase,2017-10-06T11:27:00,sperezde,0,Good attempt, but you should focus on minimizing the # of zeros,
59d79b8ac7732358ef665419,reducetestcase,2017-10-06T11:25:24,wbz,1,Good start on reducing the test case!,,
59d79c32c7732358ef66575b,reducetestcase,2017-10-06T11:24:56,lu16j,1,Good start!,,
59d79bf9c7732358ef6655c7,reducetestcase,2017-10-06T11:26:56,lu16j,0,Test case was not actually reduced - still all zeros!,,
59d79bbcc7732358ef6654b3,reducetestcase,2017-10-06T11:27:15,mcslao,2,great job finding the exact way to show the bug!,,
59d79ec9c7732358ef667fb1,reducetestcase,2017-10-06T11:25:51,caronoff,1,Good start.,,
59d79b85c7732358ef66540d,reducetestcase,2017-10-06T11:25:45,wbz,1,Nice work reducing the test case!,,
59d79b79c7732358ef665402,reducetestcase,2017-10-06T11:26:14,wbz,1,Nice start reducing the test case; does it still fail?,,
59d79d4dc7732358ef667130,reducetestcase,2017-10-06T11:26:34,caronoff,1,Good start,,
59d79b67c7732358ef6653f5,reducetestcase,2017-10-06T11:27:09,wbz,1,Nice work reducing the test case!,,
59d79d11c7732358ef666ac7,reducetestcase,2017-10-06T11:27:14,caronoff,0,Did not reduce number of zeros in 9x9 puzzle,,
59d79c29c7732358ef665719,reducetestcase,2017-10-06T11:27:45,lu16j,2,Excellent way of narrowing this down!,,
59d79b59c7732358ef6653eb,reducetestcase,2017-10-06T11:27:44,wbz,1,Nice work reducing the test case!,,
59d79bf6c7732358ef6655ae,reducetestcase,2017-10-06T11:28:05,lu16j,1,Good start,,
59d79c28c7732358ef665710,reducetestcase,2017-10-06T11:28:33,lu16j,1,Interesting, but not sure if we want randomness in our tests :),
59d79beec7732358ef66556c,reducetestcase,2017-10-06T11:28:55,lu16j,1,Good,,
59d79c1fc7732358ef6656e9,reducetestcase,2017-10-06T11:29:41,lu16j,2,Good!,,
59d79becc7732358ef66555c,reducetestcase,2017-10-06T11:30:42,lu16j,1,Good!,,
59d79c15c7732358ef6656a4,reducetestcase,2017-10-06T11:31:11,lu16j,1,Good,,
59d79bd7c7732358ef665517,reducetestcase,2017-10-06T11:31:47,lu16j,1,Good attempt,,
59d79c0cc7732358ef665672,reducetestcase,2017-10-06T11:31:56,lu16j,2,Good!,,
59d79bcbc7732358ef6654f3,reducetestcase,2017-10-06T11:32:12,lu16j,1,Good,,
59d79cf5c7732358ef66688c,reducetestcase,2017-10-06T11:27:49,caronoff,2,Well done!,,
59d79c5dc7732358ef665994,reducetestcase,2017-10-06T11:27:44,sperezde,0,no work,,
59d79bb1c7732358ef66549f,reducetestcase,2017-10-06T11:30:21,mcslao,2,good! you're on the right track to finding the exact bug!,,
59d79b54c7732358ef6653e4,reducetestcase,2017-10-06T11:28:33,wbz,1,Nice work on reducing the test case! But why do you still have the old code for emptying the whole Sudoku?,,
59d79c52c7732358ef66589e,reducetestcase,2017-10-06T11:28:02,sperezde,1,Good job trying to minimize the test,,
59d79cd9c7732358ef66648c,reducetestcase,2017-10-06T11:28:20,caronoff,2,Well done!,,
59d79c4fc7732358ef665876,reducetestcase,2017-10-06T11:29:09,sperezde,1,Good job minimizing the test,,
59d79babc7732358ef66548a,reducetestcase,2017-10-06T11:30:08,mcslao,2,good! you're on the right track to finding the exact bug!,,
59d79cb9c7732358ef66616f,reducetestcase,2017-10-06T11:29:09,caronoff,1,Good job, but think how you might be able to do that without hard coding the change to the puzzle,
59d79b39c7732358ef6653d8,reducetestcase,2017-10-06T11:29:25,wbz,1,Nice work reducing the test case!,,
59d79c7ac7732358ef665bb9,reducetestcase,2017-10-06T11:36:06,zlily,1,can be more systematic in reducing the test case - start with half the puzzle, then a quarter, etc
59d79c77c7732358ef665b7b,reducetestcase,2017-10-06T11:30:56,zlily,1,,,
59d79c75c7732358ef665b4d,reducetestcase,2017-10-06T11:32:00,zlily,2,,,
59d79c73c7732358ef665b25,reducetestcase,2017-10-06T11:32:03,zlily,2,,,
59d79c62c7732358ef6659f4,reducetestcase,2017-10-06T11:32:06,zlily,2,,,
59d79b9fc7732358ef66544b,reducetestcase,2017-10-06T11:29:50,mcslao,2,good job! so close to finding the exact bug!,,
59d79c48c7732358ef665801,reducetestcase,2017-10-06T11:30:19,sperezde,1,Good job minimizing the test,,
59d79cb8c7732358ef666160,reducetestcase,2017-10-06T11:29:46,caronoff,1,Well done!,,
59d79cadc7732358ef66604e,reducetestcase,2017-10-06T11:30:10,caronoff,0,Instead of reducing the testing size of the 9x9 puzzle, you created a different problem all together by changing the puzzle dimensions.,
59d79b90c7732358ef665428,reducetestcase,2017-10-06T12:22:51,lu16j,1,Good start trying to make the number of zeros very few, but we can be more systematic about the way that we reduce that number,
59d79c9bc7732358ef665e34,reducetestcase,2017-10-06T11:31:01,caronoff,1,Good job, but how could you do this without hard coding the a new puzzle?,
59d79c97c7732358ef665de2,reducetestcase,2017-10-06T11:31:50,caronoff,1,Good job.,,
59d79c8dc7732358ef665d57,reducetestcase,2017-10-06T11:32:02,caronoff,2,Very well done!,,
