collabid,milestone,modified,comment,score,grader,,
5aa00db98a3fde4259b3576a,reducetestcase2,2018-03-07T11:33:38,ksmori,1,Good job reducing the test case!,,
5aa00dbc8a3fde4259b35777,reducetestcase2,2018-03-07T11:34:10,ksmori,1,Good job reducing the test case,,
5aa00dc18a3fde4259b357a3,reducetestcase2,2018-03-07T11:35:29,ksmori,1,Interesting way to reduce the test case,,
5aa00dc88a3fde4259b357e2,reducetestcase2,2018-03-07T11:35:14,ksmori,2,Good job reducing the test case!,,
5aa00f2a8a3fde4259b3764c,reducetestcase,2018-03-07T11:36:04,ksmori,2,Nice job reducing the test case,,
5aa00f2a8a3fde4259b37641,reducetestcase,2018-03-07T11:36:19,ksmori,1,Good job reducing the test case,,
5aa00f248a3fde4259b3756a,reducetestcase,2018-03-07T11:36:37,ksmori,1,Good job reducing the test case,,
5aa00dc88a3fde4259b357ec,reducetestcase,2018-03-07T11:37:03,ksmori,2,Good reduction of the test case,,
5aa00f158a3fde4259b373b5,reducetestcase,2018-03-07T11:37:50,ksmori,1,Good job reducing the test case,,
5aa00dc88a3fde4259b357f2,reducetestcase,2018-03-07T11:38:12,ksmori,1,Interesting way of reducing the test case,,
5aa00de08a3fde4259b35912,reducetestcase2,2018-03-07T11:32:07,lagrassa,0,No changes from starting code recorded in Constellation. Think of how to reduce the test case size,,
5aa00dd28a3fde4259b3587c,reducetestcase,2018-03-07T11:40:03,ksmori,1,Good job creating reduced test cases. You could also have modified the for loop to fill in fewer zeros.,,
5aa00dda8a3fde4259b358d9,reducetestcase,2018-03-07T11:39:28,ksmori,2,Good job reducing the test case to a few 0's,,
5aa00ddf8a3fde4259b35906,reducetestcase,2018-03-07T11:39:46,ksmori,1,Good job reducing the test case,,
5aa00ee88a3fde4259b36d83,reducetestcase,2018-03-07T11:43:08,ksmori,2,Good job reducing the test case!,,
5aa00de08a3fde4259b35912,reducetestcase,2018-03-07T11:42:55,ksmori,2,Good job reducing the test case,,
